observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level,label_source
15.0,0.0,890.9999999999999,0.0,21.59999999999999,109.0,24.7,73.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1,expert_verified
15.0,0.0,887.9999999999998,0.0,21.2,105.0,23.1,85.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,2,expert_verified
15.0,0.0,889.9999999999999,0.0,21.2,101.0,23.1,82.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1,expert_verified
15.0,0.0,901.9999999999998,0.0,21.2,102.0,23.5,72.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1,expert_verified
15.0,0.0,890.9999999999999,0.0,20.39999999999999,102.0,21.999999999999996,68.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1,expert_verified
15.0,58.00000000000001,2085.0,0.2300000000000003,49.79999999999998,105.0,74.1,69.0,8.999999999999998,16.1,2.3999999999999977,11.99999999999998,70.0,0.0,1,expert_verified
15.0,80.0,2867.0,0.19,34.9,104.0,43.9,69.0,8.999999999999998,16.1,2.3999999999999977,23.999999999999982,70.0,1.0,1,expert_verified
15.0,81.0,2944.0,0.2499999999999997,80.0,104.0,81.6,68.0,8.999999999999998,16.1,2.3999999999999977,23.999999999999982,70.0,1.0,2,expert_verified
15.0,100.0,2859.0,-0.2300000000000003,36.9,99.0,33.7,67.0,8.999999999999998,16.1,2.3999999999999977,17.999999999999982,70.0,0.0,2,expert_verified
15.0,97.0,2766.0,-0.3899999999999998,82.00000000000001,97.0,82.0,66.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,90.0,0.0,1,expert_verified
15.0,78.0,2248.0,-0.24,76.5,91.0,81.2,59.0,8.999999999999998,16.1,2.3999999999999977,40.99999999999999,90.0,2.0,2,expert_verified
15.0,79.0,2276.0,-0.24,82.00000000000001,90.0,81.6,64.0,8.999999999999998,16.1,2.3999999999999977,38.0,90.0,2.0,1,expert_verified
15.0,79.0,2840.0,0.1699999999999999,82.00000000000001,90.0,83.9,65.0,8.999999999999998,16.1,2.3999999999999977,31.999999999999996,70.0,2.0,1,expert_verified
15.0,82.0,3008.0,0.0,82.00000000000001,89.0,85.1,61.0,8.999999999999998,16.1,2.3999999999999977,16.999999999999996,90.0,2.0,1,expert_verified
15.0,80.0,2296.0,-0.2600000000000001,82.00000000000001,90.0,81.2,62.0,8.999999999999998,16.1,2.3999999999999977,13.999999999999982,70.0,0.0,1,expert_verified
15.0,70.0,2510.0,0.0,82.00000000000001,90.0,80.8,69.0,8.999999999999998,16.1,2.3999999999999977,54.99999999999999,70.0,1.0,1,expert_verified
15.0,68.00000000000001,2468.0,0.0,75.3,92.0,79.6,70.0,8.999999999999998,16.1,2.3999999999999977,1.999999999999976,90.0,0.0,1,expert_verified
15.0,81.0,2316.0000000000005,-0.1400000000000001,82.00000000000001,95.0,79.6,70.0,6.999999999999997,7.999999999999998,0.0,2.999999999999989,90.0,0.0,1,expert_verified
15.0,80.0,2303.0,0.0,82.00000000000001,95.0,80.0,68.0,6.999999999999997,7.999999999999998,0.0,2.999999999999989,90.0,0.0,1,expert_verified
15.0,79.0,2264.0,0.0,82.00000000000001,94.0,79.6,59.0,6.999999999999997,7.999999999999998,0.0,46.0,90.0,2.0,2,expert_verified
15.0,79.0,2268.0,0.0,82.00000000000001,93.0,79.6,60.0,6.999999999999997,7.999999999999998,0.0,50.99999999999999,90.0,1.0,1,expert_verified
15.0,57.0,1660.9999999999998,-1.5200000000000005,23.1,93.0,72.5,67.0,6.999999999999997,7.999999999999998,0.0,248.0,70.0,7.999999999999999,2,expert_verified
15.0,71.0,2550.0,0.2300000000000003,33.7,90.0,36.1,67.0,6.999999999999997,7.999999999999998,0.0,5.999999999999978,90.0,0.0,1,expert_verified
15.0,87.0,2509.0,0.48,82.00000000000001,85.0,71.8,67.0,6.999999999999997,7.999999999999998,0.0,12.999999999999996,80.0,1.0,1,expert_verified
15.0,83.0,2361.0,0.0,76.89999999999999,85.0,75.3,66.0,6.999999999999997,7.999999999999998,0.0,39.99999999999999,90.0,1.0,1,expert_verified
15.0,89.0,2556.0000000000005,0.2199999999999998,60.4,84.0,74.1,66.0,6.999999999999997,7.999999999999998,0.0,42.0,70.0,0.0,1,expert_verified
15.0,75.0,2160.0,0.2499999999999997,26.3,88.0,19.19999999999999,65.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1,expert_verified
15.0,79.0,2272.0,-0.24,26.7,93.0,18.8,63.0,6.999999999999997,7.999999999999998,0.0,0.999999999999988,90.0,0.0,1,expert_verified
15.0,81.0,2331.0,0.24,26.7,96.0,18.399999999999995,61.0,6.999999999999997,7.999999999999998,0.0,4.99999999999999,90.0,0.0,1,expert_verified
15.0,83.0,2386.0,0.2199999999999998,26.7,96.0,18.8,59.0,6.999999999999997,7.999999999999998,0.0,4.99999999999999,80.0,0.0,1,expert_verified
15.0,83.0,2387.0,0.0,26.3,97.0,17.599999999999994,66.0,6.999999999999997,7.999999999999998,0.0,5.999999999999978,90.0,0.0,1,expert_verified
15.0,78.0,2245.0,-0.2600000000000001,26.3,98.0,18.8,60.0,8.999999999999998,7.999999999999998,2.3999999999999977,9.99999999999998,90.0,1.0,1,expert_verified
15.0,77.0,2207.0,0.24,34.5,98.0,49.79999999999999,59.0,8.999999999999998,7.999999999999998,2.3999999999999977,10.999999999999991,70.0,1.0,2,expert_verified
15.0,81.0,2328.0,-0.3500000000000002,25.899999999999988,99.0,17.599999999999994,69.0,8.999999999999998,7.999999999999998,2.3999999999999977,8.999999999999991,70.0,1.0,2,expert_verified
15.0,75.0,2214.0,0.0,36.1,99.0,30.6,67.0,8.999999999999998,7.999999999999998,2.3999999999999977,6.999999999999991,80.0,0.0,1,expert_verified
15.0,75.99999999999999,2176.0,0.0,25.899999999999988,99.0,17.999999999999993,65.0,8.999999999999998,7.999999999999998,2.3999999999999977,85.99999999999999,80.0,1.0,2,expert_verified
15.0,57.0,2090.0,0.24,25.5,99.0,16.899999999999995,67.0,8.999999999999998,7.999999999999998,2.3999999999999977,14.999999999999996,60.0,1.0,1,expert_verified
15.0,63.0,2279.0000000000005,0.3899999999999998,27.1,99.0,17.299999999999994,67.0,8.999999999999998,7.999999999999998,2.3999999999999977,16.999999999999996,60.0,1.0,2,expert_verified
15.0,61.99999999999999,2250.0,0.2499999999999997,26.3,99.0,17.999999999999993,66.0,8.999999999999998,7.999999999999998,2.3999999999999977,13.999999999999982,70.0,3.0,2,expert_verified
15.0,79.0,2284.0,-0.5200000000000002,26.3,98.0,18.399999999999995,68.0,8.999999999999998,7.999999999999998,2.3999999999999977,11.99999999999998,90.0,1.0,1,expert_verified
15.0,61.99999999999999,2250.0,0.0,26.7,98.0,17.599999999999994,70.0,6.999999999999997,7.999999999999998,0.0,173.0,50.0,9.0,2,expert_verified
15.0,55.99999999999999,2025.0,-0.7800000000000004,38.0,98.0,49.79999999999999,73.0,6.999999999999997,7.999999999999998,0.0,186.0,60.0,9.0,2,expert_verified
15.0,59.99999999999999,2184.0,-0.6,36.9,95.0,56.49999999999999,62.0,8.999999999999998,7.999999999999998,2.3999999999999977,14.999999999999996,80.0,3.0,2,expert_verified
15.0,74.0,2660.0,0.36,82.00000000000001,102.0,81.2,67.0,8.999999999999998,7.999999999999998,2.3999999999999977,29.99999999999999,90.0,1.0,1,expert_verified
15.0,88.0,3162.0,0.1800000000000003,38.4,87.0,58.8,69.0,8.999999999999998,7.999999999999998,2.3999999999999977,35.0,70.0,1.0,2,expert_verified
15.0,79.0,2894.0,-0.6299999999999998,27.8,86.0,16.099999999999998,72.0,8.999999999999998,7.999999999999998,2.3999999999999977,19.999999999999982,70.0,2.0,1,expert_verified
15.0,69.0,2532.0,-0.72,43.10000000000001,86.0,74.9,72.0,8.999999999999998,7.999999999999998,2.3999999999999977,19.0,70.0,2.0,1,expert_verified
15.0,59.99999999999999,2168.9999999999995,0.0,82.00000000000001,88.0,82.0,69.0,8.999999999999998,7.999999999999998,2.3999999999999977,2.999999999999989,90.0,0.0,1,expert_verified
15.0,55.99999999999999,2845.0,0.2199999999999998,82.00000000000001,91.0,83.1,70.0,8.999999999999998,7.999999999999998,2.3999999999999977,8.999999999999991,70.0,1.0,1,expert_verified
15.0,50.00000000000001,2534.0,-0.5000000000000001,29.4,93.0,24.3,65.0,8.999999999999998,7.999999999999998,2.3999999999999977,13.999999999999982,90.0,2.0,1,expert_verified
15.0,45.99999999999999,2367.0,-0.2600000000000001,26.3,93.0,23.1,66.0,8.999999999999998,7.999999999999998,2.3999999999999977,15.999999999999982,80.0,2.0,1,expert_verified
15.0,49.0,1358.0,0.1800000000000003,23.5,93.0,20.0,67.0,8.999999999999998,7.999999999999998,2.3999999999999977,13.999999999999982,90.0,1.0,1,expert_verified
15.0,80.0,2886.0,0.24,27.8,94.0,15.7,68.0,8.999999999999998,7.999999999999998,2.3999999999999977,6.999999999999991,70.0,1.0,1,expert_verified
15.0,83.0,2974.0,0.2999999999999996,27.8,94.0,15.3,68.0,8.999999999999998,7.999999999999998,2.3999999999999977,3.999999999999977,70.0,1.0,1,expert_verified
15.0,86.0,3119.0,0.0,28.2,93.0,14.9,71.0,8.999999999999998,7.999999999999998,2.3999999999999977,4.99999999999999,90.0,0.0,1,expert_verified
15.0,66.0,2393.0,0.2600000000000001,25.899999999999988,88.0,16.499999999999996,61.0,8.999999999999998,7.999999999999998,2.3999999999999977,8.999999999999991,70.0,2.0,1,expert_verified
15.0,63.99999999999999,2327.0,-0.4200000000000003,25.899999999999988,87.0,16.499999999999996,65.0,8.999999999999998,7.999999999999998,2.3999999999999977,8.999999999999991,70.0,0.0,1,expert_verified
15.0,66.0,2428.0,-0.7699999999999999,26.3,83.0,16.899999999999995,65.0,8.999999999999998,7.999999999999998,2.3999999999999977,16.999999999999996,90.0,0.0,1,expert_verified
15.0,63.0,2275.0,-0.2300000000000003,25.899999999999988,84.0,17.299999999999994,65.0,8.999999999999998,7.999999999999998,2.3999999999999977,16.999999999999996,80.0,0.0,1,expert_verified
15.0,69.0,1974.0,-0.2499999999999997,82.00000000000001,90.0,83.1,65.0,8.999999999999998,7.999999999999998,2.3999999999999977,1.999999999999976,90.0,0.0,1,expert_verified
15.0,65.0,2341.0,0.0,82.00000000000001,96.0,81.2,71.0,8.999999999999998,7.999999999999998,2.3999999999999977,0.0,90.0,0.0,1,expert_verified
